,VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe,VillageAll_test,VillageAll_admin2
545,Panenga,,Ouaka,,Ippy,,Yengou,,933.1256193,panenga,panenga _ Ippy
5461,pk2Kpabe,,Kemo,,Ndjoukou,,Galafondo,,913.9020474,pk2kpabe,pk2kpabe _ Ndjoukou
547,Ngonikira,,Ouham,,Kabo,,Ouaki,,1218.35649,ngonikira,ngonikira _ Kabo
548,Goya,,Ouaka,,Kouango,,Kouango,,884.3740292,goya,goya _ Kouango
549,Lindao,,Ouaka,,Kouango,,Kouango,,884.3740292,lindao,lindao _ Kouango
550,Boungu,,Haute_Kotto,,Bria,,Samba_Boungou,,14100.5513,boungu,boungu _ Bria
5511,Balinguini,,Mbomou,,Bakouma,,Bakouma,,2115.506859,balinguini,baliguini _ Bakouma
5521,YAMBALLA,,Bamingui_Bangoran,,Bamingui,,Vassako,,1002.728746,yamballa,yambala _ Bamingui
553,Dujardin,,Lobaye,,Mbaiki,,Mbata,,1465.702274,dujardin,dujardin _ Mbaiki
5541,Gbadene,,Ouham,,Batangafo,,Ouassi,,1068.924541,gbadene,gbadene _ Batangafo
5551,KPOKOLITA,,Mambere_Kadei,,Carnot,,Carnot,,1955.806564,kpokolita,kpokolita _ Carnot
5561,MEYE,,Mambere_Kadei,,Carnot,,Carnot,,1955.806564,meye,meye _ Carnot
5571,Bambio,,Sangha_Mbaere,,Bambio,,Mbaere,,1555.302432,bambio,bambio _ Bambio
5581,Satema,,Basse_Kotto,,Satema,,Kotto_Oubangui,,754.770583,satema,satema _ Satema
315, Mbres,"19.799937,6.667027",Nana-Gribizi,CF42,Mbres,CF422,Mbres,CF4221,6189.734745,mbres,mbres _ Mbres
