VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe
 Bangui 6e,"18.538761,4.345934",Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,100650.4114
 Bangui 7e,"18.622489,4.374214",Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,45566.21555
 Bangui 8e,"18.536311,4.410511",Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,102018.6169
 Basse Kouma,"19.431066,6.176633",Kémo,CF41,Mala,CF413,Mala,CF4131,2684.035065
 Basse-Kotto,"22.6503699999999,4.700153",Mbomou,CF62,Ouango,CF622,Ouango,CF6221,1842.435771
 Batonde,"17.0507139999999,4.278819",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,2519.750966
 Bawi,"16.247553,5.606684",Nana-Mambéré,CF22,Baoro,CF222,Bawi Tédoa,CF2221,852.914433
 Bayama,"16.968502,4.428603",Mambéré-Kadéi,CF21,Gadzi,CF217,Topia,CF2171,1103.601164
 Bayanga,"16.274837,2.910364",Sangha-Mbaéré,CF23,Bayanga,CF233,Yobé-Sangha,CF2331,3143.342082
 Bayanga Didi,"15.794893,5.306993",Nana-Mambéré,CF22,Baoro,CF222,Yoro-Samba Bougoulou,CF2222,1269.235197
 Bayelaka,"19.1149139999999,6.131304",Kémo,CF41,Dékoa,CF412,Guiffa,CF4123,2925.004524
 BÃžne,"15.773304,7.272177",Ouham Pendé,CF31,Ngaoundaye,CF315,Dilouki,CF3151,5787.462177
 Bazoli,"17.1045319999999,7.445924",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,382.085776
 BeÂ´na-Doemo,"15.552149,4.04661",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,738.01602
 Bedin,"16.939864,7.20454",Ouham,CF32,Nangha Boguila,CF324,Nangha Boguila,CF3241,768.400722
 Beferan,"16.9858319999999,7.329259",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,980.133078
 Begagneto,"16.9811,5.517504",Ombella M'Poko,CF11,Yaloké,CF116,Guézéli,CF1162,726.91128
 Bego,"15.345325,4.578795",Mambéré-Kadéi,CF21,Berbérati,CF211,Ouakanga,CF2113,682.897363
 Begou,"19.118386,6.364303",Kémo,CF41,Dékoa,CF412,Tilo,CF4122,1412.885874
 Beina 2,"14.921974,4.624539",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,496.224728
 Beiya-Gbakounde,"15.594924,5.75908",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,360.534741
 Bekagomi,"17.289724,4.764314",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,1502.550955
 Beko,"15.333455,3.872242",Mambéré-Kadéi,CF21,Dédé-Mokouba,CF216,Haute-Kadéi,CF2161,896.5198
 Belanga,"15.107942,5.795846",Nana-Mambéré,CF22,Baboua,CF223,Fo,CF2235,754.412636
 Belemboke,"16.216068,3.380194",Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311,1204.905913
 Belemboke 4,"16.222307,3.412311",Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311,408.273904
 Bende,"17.413902,6.706772",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,1770.068425
 Bendoui,"17.298238,6.958238",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,1253.340375
 Beng Boyo,"15.297112,6.978522",Ouham Pendé,CF31,Ngaoundaye,CF315,Mbili,CF3155,668.311547
 Benguere,"21.7441719999999,4.610301",Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131,1645.335441
 Bengues,"22.4349419999999,10.203859",Vakaga,CF53,Birao,CF531,Ridina,CF5311,464.167426
 Berberati,"15.7875289999999,4.255473",Mambéré-Kadéi,CF21,Berbérati,CF211,Basse-Batouri,CF2115,7711.565557
 Beya,"16.194292,3.334294",Sangha-Mbaéré,CF23,Nola,CF231,Salo,CF2313,2839.875449
 Bezanga,"18.0412959999999,7.215924",Ouham,CF32,Batangafo,CF326,Hama,CF3263,1348.545009
 Bidjo,"15.948212,3.457909",Sangha-Mbaéré,CF23,Nola,CF231,Bilolo,CF2312,592.657672
 Bidou 2,"21.6826219999999,4.435024",Basse-Kotto,CF61,Kembé,CF613,Mboui,CF6132,1139.848773
 Bila,"19.54689,6.100629",Kémo,CF41,Mala,CF413,Mala,CF4131,1671.068008
 Bindi,"19.1441659999999,5.873855",Kémo,CF41,Sibut,CF411,Ngoumbele,CF4112,732.221194
