OBJECTID,VillageAll,PC_DTM,PC_OCHA,PC_UNK,GPS_Source,Duplicate,DuplicatPC,Relation,DataSource,FB_POP,UrbanRural,POINT_X,POINT_Y,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,idps,hh_idp,ind_idp,abris_pdi_,abris_pdi1,retournes,hh_ret_rca,ind_ret_rc,abris_ret_,abris_ret1,retournes_,hh_ret_oth,ind_ret_ot,abris_reto,abris_re_1,TotalPop
2190, Nganda, ,61610039, , SIGCAF, ,, , SIGCAF,2028.96494,Rural,22.06712,4.315959,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,2028.96494
828, Ngandio, ,21510018, , SIGCAF, ,, , SIGCAF,1265.17032,Rural,15.542632,3.995325,Central African Republic,CF,Mambéré-Kadéï,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1265.17032
793, Ngandja 1, ,21310046, , SIGCAF, ,, , SIGCAF,402.6869658,Rural,15.823188,4.840905,Central African Republic,CF,Mambéré-Kadéï,CF21,Carnot,CF213,Carnot,CF2131, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,402.6869658
2167, Ngapo, ,61520066, , SIGCAF, ,, , SIGCAF,320.7495133,Rural,20.902046,4.729721,Central African Republic,CF,Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,320.7495133
794, Ngbaboko, ,21310048, , SIGCAF, ,, , SIGCAF,1070.78125,Rural,16.169012,4.660785,Central African Republic,CF,Mambéré-Kadéï,CF21,Carnot,CF213,Carnot,CF2131, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1070.78125
1010, Ngbafio 1, ,22410027, , SIGCAF, ,, , SIGCAF,270.1835154,Rural,15.411285,5.310668,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,270.1835154
1824, Ngbalah, ,43150040, , SIGCAF, ,, , SIGCAF,624.9783001,Urban,21.403198,5.792125,Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Haute Baïdou,CF4315, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,624.9783001
2269, Ngbama, ,62220016, , SIGCAF, ,, , SIGCAF,598.3732415,Urban,22.511712,4.191984,Central African Republic,CF,Mbomou,CF62,Ouango,CF622,Ngbandinga,CF6222, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,598.3732415
2239, Ngbanda, ,62140033, , SIGCAF, ,, , SIGCAF,324.5763449,Rural,23.094334,4.829665,Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,324.5763449
2191, Ngbando 1, ,61610040, , SIGCAF, ,, , SIGCAF,822.0890302,Rural,21.731108,4.342946,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,822.0890302
1930, Ngbanza, ,43510023, , SIGCAF, ,, , SIGCAF,689.6815079,Rural,21.175178,6.207691,Central African Republic,CF,Ouaka,CF43,Ippy,CF435,Ippy,CF4351, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,689.6815079
2192, Ngbassa 1, ,61610042, , SIGCAF, ,, , SIGCAF,443.2833006,Rural,21.550478,4.252227,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,443.2833006
1844, Ngbekota, ,43320018, , SIGCAF, ,, , SIGCAF,1693.857875,Rural,19.787756,5.750433,Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Kobadja,CF4332, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1693.857875
1632, Ngbere, ,41220017, , SIGCAF, ,, , SIGCAF,814.7930805,Rural,19.163332,6.308016,Central African Republic,CF,Kémo,CF41,Dékoa,CF412,Tilo,CF4122, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,814.7930805
